,Canal_id,year,Canal_name,Sample_water_point,TEMP. (oC),  pH,DO (mg/l),H2S (mg/l),BOD (mg/l),COD (mg/l),SS (mg/l),TKN (mg/l),NH3N (mg/l),NO2 (mg/l),NO3 (mg/l),T-P (mg/l),T.Coliform (col/100ml),Sample_water_point (EN),Canal_name (EN)
710,371,2563,คลองสำโรง,สะพานสำโรง  (ถนนศรีนครินทร์),29.3,7.2,1.5,0.1,18.7,80.1,16.4,15.0,9.7,0.1,2.6,1.5,5.65E+12,Samrong Bridge (Srinakarin Road),Khlong Samrong
711,391,2563,คลองบางกอกใหญ่,ถนนเพชรเกษม,28.9,7.2,2.2,0.0,5.9,50.3,10.1,5.6,2.8,0.2,2.9,0.6,3.51E+09,Phetkasem Road,Bangkok Yai Canal
712,392,2563,คลองบางกอกใหญ่,ร.ร.พาณิชยการธนบุรี,28.8,7.1,2.4,0.0,4.3,45.7,13.9,4.3,1.5,0.2,2.1,0.5,2.59E+09,Thonburi Commercial School,Bangkok Yai Canal
713,393,2563,คลองชักพระ,วัดช่างเหล็ก,28.8,7.1,2.4,0.0,4.1,42.4,11.1,4.4,1.1,0.1,2.3,0.5,2.00E+09,Changlek Temple,Khlong Chak Phra
714,394,2563,คลองชักพระ,บางขุนนนท์,28.8,7.1,2.4,0.0,4.1,42.4,11.1,4.4,1.1,0.1,2.3,0.5,2.00E+09,Bang Khun Non,Khlong Chak Phra
715,395,2563,คลองบางกอกใหญ่,สะพานเจริญพาสน์,29.1,7.2,2.7,0.0,7.3,48.5,15.4,5.3,2.8,0.2,2.6,0.7,2.41E+09,Charoenpas Bridge,Bangkok Yai Canal
716,396,2563,คลองบางหลวง,ชุมชนคลองบางหลวง,29.0,7.2,2.4,0.0,5.9,44.7,12.7,4.6,2.6,0.2,2.2,0.7,2.23E+09,Khlong Bang Luang Community,Khlong Bang Luang
717,401,2563,คลองบางกรวย,วัดกล้วย (ถ.บางกรวย-ไทรน้อย22) ,29.2,7.3,3.3,0.0,4.8,43.1,21.3,3.0,0.8,0.2,2.8,0.3,2.04E+09,Kluai Temple (Bang Kruai-Sai Noi 22 Rd.) ,Khlong Bang Kruai
718,402,2563,คลองบางกรวย,วัดสำโรง  (สะพานเฉลิมศักดิ์),28.9,7.3,2.9,0.0,5.3,46.4,37.1,4.4,0.9,0.2,2.7,0.7,2.00E+09,Samrong Temple (Chalermsak Bridge),Khlong Bang Kruai
719,411,2563,คลองมหาสวัสดิ์,หน้าวัดชัยพฤกษ์,29.5,7.2,2.5,0.0,6.8,59.3,35.3,2.9,0.4,0.3,3.0,0.5,2.00E+09,In front of Chaiyaphruek Temple,Khlong Mahasawat
720,421,2563,คลองทวีวัฒนา,ถ. ปิ่นเกล้า-นครชัยศรี,29.9,7.3,2.1,0.0,5.4,43.8,8.2,2.6,0.2,0.3,1.7,0.4,2.00E+09,Pinklao-Nakhon Chai Si Rd.,Khlong Thawi Watthana
721,422,2563,คลองทวีวัฒนา,แยกถนนเพชรเกษม  69,29.8,7.3,2.7,0.0,5.2,46.3,7.3,3.6,1.1,0.5,1.9,0.5,2.00E+09,Phetkasem Road Intersection 69,Khlong Thawi Watthana
722,423,2563,คลองทวีวัฒนา,สน. ศาลาแดง,29.8,7.3,2.2,0.0,5.0,50.0,7.8,3.3,0.6,0.3,1.5,0.4,1.75E+09,Saladaeng Police Station,Khlong Thawi Watthana
723,431,2563,คลองสนามชัย,วัดสิงห์,28.9,7.3,3.4,0.0,12.3,60.9,17.4,6.9,3.9,0.2,1.8,1.0,1.72E+09,Wat Singh,Sanamchai Canal
724,432,2563,คลองสนามชัย,วัดเลา,28.8,7.3,2.7,0.0,12.1,54.4,23.7,7.0,3.9,0.2,1.8,0.9,1.71E+09,Wat Lao,Sanamchai Canal
725,433,2563,คลองสนามชัย,สน. ท่าข้าม,29.1,7.3,2.3,0.1,14.5,69.9,15.3,9.5,5.1,0.2,2.1,1.3,1.25E+10,Tha Kham Police Station,Sanamchai Canal
726,434,2563,คลองสนามชัย,วัดบางกระดี่,29.4,7.2,2.9,0.0,8.8,97.8,29.0,5.7,3.1,0.3,2.2,1.1,7.85E+08,Bang Kradi Temple,Sanamchai Canal
727,435,2563,คลองสนามชัย,วัดแสมดำ,29.5,7.2,2.9,0.0,8.5,108.0,26.1,5.5,3.2,0.3,2.1,1.2,8.21E+08,Wat Samae Dam,Sanamchai Canal
728,441,2563,คลองหัวกระบือ,วัดหัวกระบือ,29.3,7.3,3.8,0.0,10.9,63.5,20.5,6.6,4.2,0.2,1.8,1.0,9.48E+08,Buffalo Head Temple,Khlong Hua Krabue
729,451,2563,คลองขุนราชวินิตใจ,หน้า ปตร.คลองขุนฯ,29.8,7.3,4.0,0.0,6.8,179.5,114.3,4.2,1.4,0.2,1.5,0.9,7.75E+08,In front of Khlong Khun Police Station,Khun Ratchawinitjai Canal
730,452,2563,คลองขุนราชวินิตใจ,ตรงข้ามปตร.รางสะแก,29.6,7.6,3.3,0.1,9.2,74.8,20.3,6.9,3.7,0.2,1.9,1.1,8.53E+08,Opposite Rang Sakae Police Station,Khun Ratchawinitjai Canal
731,453,2563,คลองขุนราชวินิตใจ,วัดหัวกระบือ,29.3,7.4,4.6,0.0,10.8,72.7,22.2,6.7,3.9,0.2,2.0,0.9,3.60E+08,Buffalo Head Temple,Khun Ratchawinitjai Canal
732,461,2563,คลองประเวศบุรีรมย์,หน้าวัดลานบุญ,29.0,7.3,2.4,0.0,8.9,57.1,12.5,8.8,5.5,0.3,2.8,0.9,3.70E+08,In front of Wat Lan Bun,Khlong Prawet Burirom
733,462,2563,คลองประเวศบุรีรมย์,สำนักงานเขตลาดกระบัง,29.4,7.3,3.9,0.0,9.6,58.3,20.5,8.8,5.3,0.2,2.7,0.9,4.98E+08,Lat Krabang District Office,Khlong Prawet Burirom
734,463,2563,คลองประเวศบุรีรมย์,ถนนพัฒนาการ,29.3,7.3,3.0,0.0,9.2,56.1,13.2,10.3,6.6,0.3,2.7,1.0,4.58E+08,Phatthanakan Road,Khlong Prawet Burirom
735,471,2563,คลองเชิงตาแพ,ปตร. เชิงตาแพ,29.9,7.3,4.2,0.0,5.3,182.3,87.2,3.4,0.3,0.1,1.3,0.4,3.25E+08,Choeng Ta Phae Police Station,Choeng Ta Phae Canal
736,472,2563,คลองรางหอกหัก,ปตร. วัดลูกโค,29.8,7.3,4.4,0.0,5.2,180.3,131.8,3.7,0.8,0.1,1.3,0.6,2.33E+08,Police Station Luk Kho Temple,Khlong Rang Hok Hak
737,473,2563,คลองรางหอกหัก,ปตร. เรือสัญจร,29.8,7.3,4.2,0.0,5.4,178.5,148.3,4.1,0.9,0.1,1.3,0.6,2.34E+08,Traffic boat patrol,Khlong Rang Hok Hak
738,481,2563,คลองบางจาก,โรงกลั่นน้ำมันบางจาก (เขตพระโขนง),29.3,7.3,0.1,0.3,21.2,70.3,13.3,14.0,9.6,0.2,2.0,1.4,1.09E+13,Bangchak Oil Refinery (Phra Khanong District),Khlong Bang Chak
739,491,2563,คลองบางรัก,ถนนจรัญสนิทวงค์,28.9,7.2,1.7,0.0,9.1,52.8,14.4,6.5,3.4,0.2,2.0,0.9,2.12E+10,Charansanitwong Road,Khlong Bang Rak
740,501,2563,คลองบางกะปิ,ปตร. บางกะปิ,29.4,7.3,1.0,0.0,12.4,60.7,14.8,11.6,8.4,0.5,4.0,1.6,1.13E+11,Bang Kapi Police Station,Khlong Bang Kapi
741,511,2563,คลองบางเขน,ปตร. บางเขนเก่า,29.1,7.3,2.9,0.0,5.7,56.3,17.0,4.4,2.5,0.4,2.5,0.8,2.58E+10,Old Bang Khen Police Station,Khlong Bang Khen
742,512,2563,คลองบางเขน,วัดทางหลวง,28.9,7.2,1.5,0.1,9.3,62.5,24.8,6.1,3.5,0.3,2.2,0.9,2.78E+11,highway temple,Khlong Bang Khen
743,513,2563,คลองบางเขน,ข้างทัณฑสถานบางเขน,28.9,7.3,1.1,0.0,9.2,57.8,69.3,7.1,4.4,0.3,1.9,1.1,2.68E+10,Next to Bang Khen Correctional Institution,Khlong Bang Khen
744,514,2563,คลองบางเขน,ชุมชนบางบัว,28.9,7.3,1.8,0.1,10.8,53.7,56.7,8.4,5.6,0.2,1.8,1.4,9.20E+11,Bang Bua Community,Khlong Bang Khen
745,515,2563,คลองบางเขน,ใกล้โรงงานปรับปรุงคุณภาพน้ำบางบัว,28.9,7.3,2.0,0.1,12.1,60.2,52.7,7.6,4.7,0.3,1.7,1.2,9.17E+11,Near the Bang Bua water quality improvement factory.,Khlong Bang Khen
746,516,2563,คลองบางเขนใหม่,ถนนพิบูลย์สงคราม,28.8,7.2,2.0,0.0,5.9,58.4,20.7,4.8,2.6,0.2,2.2,0.9,9.19E+11,Phibunsongkram Road,Khlong Bang Khen Mai
747,521,2563,คลองบางยี่ขัน,วัดพระศิริไอยสวรรค์,29.3,7.3,1.4,0.1,10.3,56.8,19.5,6.4,2.8,0.3,1.9,1.0,2.25E+11,Wat Phra Siri Aiya Sawan,Khlong Bang Yi Khan
748,522,2563,คลองบางยี่ขัน,ถนนจรัญสนิทวงค์,29.2,7.3,1.1,0.1,15.1,59.3,17.3,7.7,4.8,0.2,1.9,1.5,3.38E+11,Charansanitwong Road,Khlong Bang Yi Khan
749,523,2563,คลองบางยี่ขัน,ซอยบรมราชชนนี  2,29.2,7.3,0.9,0.2,15.3,65.3,12.2,7.4,5.4,0.2,2.0,1.3,9.36E+13,Soi Borommaratchachonnani 2,Khlong Bang Yi Khan
750,531,2563,คลองบางจาก,วัดเปาว์โลหิต (เขตบางพลัด),29.3,7.3,0.3,0.1,22.6,67.6,6.6,11.8,7.8,0.1,1.4,1.4,1.31E+14,Wat Pao Lohit (Bang Phlat District),Khlong Bang Chak
751,541,2563,คลองบางพลู,วัดภาณุรังสี,29.2,7.2,1.7,0.0,12.0,52.3,8.4,8.5,5.2,0.2,1.8,1.3,3.79E+12,Phanurangsi Temple,Khlong Bang Phlu
752,551,2563,คลองบางพลัด,ถนนจรัญสนิทวงค์,29.0,7.2,2.2,0.0,7.3,50.1,10.4,5.9,3.0,0.2,1.8,1.2,4.20E+13,Charansanitwong Road,Khlong Bang Phlat
753,561,2563,คลองพระครู,ถนนจรัญสนิทวงค์,29.1,7.2,1.9,0.0,7.1,46.5,14.5,4.7,2.5,0.3,1.9,0.9,2.23E+13,Charansanitwong Road,Khlong Phrakru
754,571,2563,คลองบางโพ,สน. บางโพ,28.9,7.1,1.6,0.1,10.9,51.5,10.7,6.2,3.9,0.2,2.9,1.1,9.37E+11,Bang Pho Police Station,Khlong Bang Pho
755,572,2563,คลองบางโพ,ถนนประชาราษฏร์สาย 1,28.9,7.1,1.6,0.0,10.8,52.1,11.3,6.4,4.0,0.1,2.6,1.0,1.07E+12,Pracharat Sai 1 Road,Khlong Bang Pho
756,581,2563,คลองหลุมไผ่,ถนนลาดปลาเค้า,29.1,7.3,0.6,0.3,17.1,58.7,8.5,13.8,10.2,0.1,2.5,1.5,1.93E+12,Lat Pla Khao Road,Khlong Lum Phai
757,582,2563,คลองหลุมไผ่,ซ. ลาดปลาเค้า 47,29.1,7.3,0.5,0.3,16.9,63.0,9.8,14.4,9.5,0.1,2.7,1.4,3.80E+11,Soi Lat Pla Khao 47,Khlong Lum Phai
758,591,2563,คลองกุ่ม,หมู่บ้านสหกรณ์ (ซ.28),29.3,7.3,0.2,0.2,33.8,94.3,21.8,23.7,18.0,0.1,3.4,2.4,9.43E+11,Cooperative Village (Soi 28),Khlong Kum
759,592,2563,คลองกุ่ม,ถ. สุขาภิบาล 2,29.3,7.3,0.8,0.1,21.5,70.4,15.9,14.5,10.2,0.1,2.7,1.8,1.94E+12,Sukhaphiban 2 Rd.,Khlong Kum
760,601,2563,คลองพังพวย,ถ. สุขาภิบาล 1,29.2,7.3,0.5,0.2,20.3,74.9,13.3,13.3,9.9,0.1,2.6,1.2,4.05E+11,Sukhapiban Rd. 1,Khlong Phang Phuai
761,602,2563,คลองพังพวย,หลังแฟลตคลองจั่น ซ.57,29.6,7.5,6.1,0.0,15.8,55.7,18.0,8.5,4.5,0.4,2.8,1.3,2.90E+09,"Behind Khlong Chan Flats, Soi 57",Khlong Phang Phuai
762,611,2563,คลองเตย,ปตร. คลองเตย,29.3,7.4,0.0,0.5,36.2,93.9,15.8,18.7,13.4,0.1,2.3,2.2,1.98E+14,Khlong Toei Police Station,Khlong Toei
763,612,2563,คลองเตย,อาคารทวิช,29.2,7.3,0.0,1.2,51.2,120.2,35.4,25.7,19.3,0.0,2.1,2.6,1.25E+14,Twitch Building,Khlong Toei
764,621,2563,คลองวัดดอน,ซ. เจริญกรุง 57,29.4,7.3,1.0,0.3,18.0,65.3,11.8,8.7,5.4,0.2,1.7,1.1,9.02E+12,Soi Charoen Krung 57,Khlong Wat Don
765,631,2563,คลองต้นไทร,ถ. เจริญนคร 17,29.4,7.2,0.9,0.0,16.0,64.7,10.5,8.6,4.8,0.4,2.5,1.4,1.78E+11,Charoen Nakhon Rd. 17,Khlong Ton Sai
766,641,2563,คลองวัดทองเพลง,วัดทองเพลง,29.5,7.3,1.8,0.0,16.0,62.8,22.3,9.4,5.8,0.2,1.8,1.2,6.64E+12,Wat Thong Phleng,Khlong Wat Thong Phleng
767,642,2563,คลองวัดทองเพลง,ถนนเจริญนคร,29.7,7.3,1.6,0.1,16.8,61.5,16.0,10.7,6.5,0.1,2.3,1.3,4.81E+12,Charoen Nakhon Road,Khlong Wat Thong Phleng
768,651,2563,คลองหัวลำโพง,หน้าเขตคลองเตย,29.3,7.4,0.0,0.4,34.5,86.5,12.2,18.7,13.4,0.1,2.2,2.2,2.52E+13,In front of Khlong Toei District,Khlong Hua Lamphong
769,661,2563,คลองกรวย,ซ. เจริญกรุง 71,29.3,7.3,0.9,0.2,23.3,96.9,17.3,10.6,7.1,0.3,2.7,1.5,1.31E+12,Soi Charoen Krung 71,Khlong Kruai
770,671,2563,คลองด่าน,ถนนเทอดไทย,29.0,7.4,2.3,0.0,9.5,47.8,10.7,5.9,3.6,0.3,2.3,1.0,9.34E+09,Theot Thai Road,Khlong Dan
771,672,2563,คลองด่าน,ท่าน้ำวัดนางนองวรวิหาร (ถ.วุฒากาศ),29.1,7.3,2.8,0.0,7.9,50.8,16.6,5.7,3.6,0.3,2.5,0.9,1.95E+08,Wat Nang Nong Worawihan Pier (Wutthakat Road),Khlong Dan
772,691,2563,คลองลาดยาว,ถนนวิภาวดีรังสิต,29.0,7.4,2.0,0.0,14.9,71.6,13.1,13.9,9.7,0.2,1.6,1.6,1.86E+12,Vibhavadi Rangsit Road,Khlong Lat Yao
773,692,2563,คลองลาดยาว,ถนนรัชดาภิเษก,29.0,7.5,2.2,0.0,10.8,58.2,9.7,10.1,6.9,0.2,1.4,1.3,8.23E+11,Ratchadaphisek Road,Khlong Lat Yao
774,701,2563,คลองพญาเวิก,ถนนลาดพร้าว (ซอยลาดพร้าว 5/1) ,29.1,7.4,0.5,0.3,24.7,77.8,9.4,15.2,10.4,0.1,1.4,1.9,5.59E+12,Lat Phrao Road (Soi Lat Phrao 5/1) ,Khlong Phaya Wek
775,711,2563,คลองน้ำแก้ว,ถนนลาดพร้าว (ซอยลาดพร้าว 35) ,29.0,7.4,0.9,0.2,16.1,59.5,11.8,11.7,8.2,0.2,2.0,1.9,1.73E+12,Lat Phrao Road (Soi Lat Phrao 35) ,Khlong Nam Kaew
776,712,2563,คลองน้ำแก้ว,ถนนรัชดาภิเษก,28.9,7.4,0.8,0.2,14.8,55.8,11.5,11.0,7.3,0.3,2.1,1.8,2.08E+12,Ratchadaphisek Road,Khlong Nam Kaew
777,721,2563,คลองสวนหลวง 1,ถนนพระราม 1 (แยกเจริญผล),29.0,7.3,0.2,0.5,32.3,91.1,13.8,17.1,12.3,0.1,2.4,1.3,3.93E+15,Rama 1 Road (Charoen Phon Intersection),Khlong Suan Luang 1
778,722,2563,คลองสวนหลวง 1,ถนนเจริญเมือง,29.0,7.2,0.2,0.7,33.8,109.8,12.3,17.0,12.2,0.1,1.7,1.4,3.09E+15,Charoen Mueang Road,Khlong Suan Luang 1
779,741,2563,คลองบางกระบือ,ถนนสามเสน (บริษัท บุญรอด บิวเวอรี่),29.0,7.3,3.1,0.0,13.2,54.3,47.0,6.5,2.6,0.2,3.7,0.9,2.30E+11,Samsen Road (Boon Rawd Brewery Company),Bang Krabue Canal
780,751,2563,คลองนาซอง,ถนนประชาสงเคราะห์ (ซอยพาณิชจำนงค์),29.2,7.3,0.0,0.2,39.6,89.1,12.9,21.6,16.6,0.0,2.1,2.2,2.07E+14,Pracha Songkhro Road (Soi Phanitchamnong),Na Song Canal
781,752,2563,คลองนาซอง,ถนนพระราม 9 (สถานีสูบน้ำนาซอง),29.2,7.3,0.0,0.2,36.3,86.7,12.2,21.3,16.1,0.0,2.1,2.0,1.97E+15,Rama 9 Road (Nasong Pumping Station),Na Song Canal
782,761,2563,คลองบางสะแก,ถนนเทอดไทย (สะพานเทศบาล 11),29.3,7.3,1.0,0.5,23.1,77.3,8.5,8.7,6.0,0.2,1.9,1.2,2.95E+12,Thet Thai Road (Thetsaban Bridge 11),Khlong Bang Sakae
783,762,2563,คลองบางสะแก,ถนนเทอดไทย  ซอย 33 (วัดบางสะแกใน),29.3,7.3,0.8,0.6,22.8,78.0,12.5,10.0,6.4,0.2,1.9,1.4,4.85E+12,"Theot Thai Road, Soi 33 (Wat Bang Sakae Nai)",Khlong Bang Sakae
784,771,2563,คลองวัดอนงค์,หน้าวัดอนงค์,29.6,7.1,2.0,0.1,21.2,81.9,35.9,8.6,5.4,0.3,2.6,1.4,9.28E+13,In front of Wat Anong,Khlong Wat Anong
785,781,2563,คลองสองต้นนุ่น,หลังโรงงานปรับปรุงคุณภาพน้ำร่มเกล้า,29.2,7.3,2.8,0.0,11.1,58.5,16.5,8.5,4.5,0.2,3.1,1.3,3.38E+08,After the factory improved the quality of Romklao water,Khlong Song Ton Nun
786,782,2563,คลองสองต้นนุ่น,ซ.รามคำแหง 209,29.3,7.3,2.9,0.0,10.1,51.8,16.3,8.8,4.6,0.2,2.8,1.2,4.56E+09,Soi Ramkhamhaeng 209,Khlong Song Ton Nun
787,791,2563,คลองบางลำภูล่าง,วัดเศวตฉัตร  (คลองสาน),29.5,7.1,2.5,0.0,14.4,66.0,33.9,6.2,2.8,0.3,3.1,1.1,9.41E+09,Wat Sawetchat (Khlong San),Bang Lamphu Lang Canal
788,801,2563,คลองวัดราชา,วัดราชา,29.1,7.2,3.3,0.0,6.3,55.1,25.2,3.9,1.3,0.3,3.7,0.9,1.12E+10,Wat Racha,Wat Racha Canal
789,811,2563,คลองบุปผา,สน.บุปผาราม,29.1,7.1,1.0,0.1,17.8,59.4,10.9,8.3,5.5,0.3,2.7,0.9,1.94E+14,Buppharam Police Station,Klong Buppa
790,821,2563,คลองบางผักหนาม,ซอยจรัญฯ  41,29.0,7.2,1.1,0.3,14.1,52.6,10.5,8.0,4.3,0.2,1.4,1.4,9.41E+11,Soi Charan 41,Khlong Bang Phaknam
791,831,2563,คลองบางบัวหรุ,ซอยจรัญฯ  45,29.1,7.3,0.4,0.8,18.9,63.6,11.3,8.2,4.3,0.2,1.8,1.5,4.79E+12,Soi Charan 45,Khlong Bang Bua Ru
792,841,2563,คลองควาย,ถนนพุทธมณฑลสาย  2,29.5,7.3,2.5,0.0,5.1,47.2,19.5,3.4,0.9,0.4,1.6,0.6,3.94E+07,Phutthamonthon Sai 2 Road,Khlong Khwai
793,851,2563,คลองบัว,ถนนสวนผัก  46,29.5,7.3,1.8,0.0,5.8,44.0,22.9,3.8,1.1,0.4,1.7,0.5,6.67E+07,Suan Phak Road 46,Khlong Bua
794,861,2563,คลองเจ็ก,ถนนสุขาภิบาล 3 ซ.รามคำแห่ง 149,29.1,7.3,2.4,0.0,10.5,53.5,14.8,10.9,6.8,0.2,2.7,1.3,7.63E+10,"Sukhapiban Road 3, Soi Ramkhamhaeng 149",Khlong Chek
795,871,2563,คลองหลอแหล,ถนนสุขาภิบาล 3 ซ.รามคำแห่ง 157/3,29.3,7.3,2.8,0.0,10.8,51.9,15.9,12.0,6.7,0.1,2.8,1.3,2.33E+11,"Sukhapiban Road 3, Soi Ramkhamhaeng 157/3",Khlong Lo Lae
796,872,2563,คลองหลอแหล,ถนนสุขาภิบาล 3 ซ.รามคำแห่ง 162,29.1,7.3,3.2,0.0,10.3,59.6,17.5,12.0,7.4,0.1,2.8,1.2,7.66E+10,"Sukhapiban Road 3, Soi Ramkhamhaeng 162",Khlong Lo Lae
797,873,2563,คลองหลอแหล,ถนนสุขาภิบาล ตลาดสด ชีรอ,29.1,7.3,2.3,0.1,12.6,62.3,13.1,11.5,7.1,0.1,2.6,1.2,2.25E+11,"Sukhaphiban Road, Fresh Market, Chiro",Khlong Lo Lae
798,881,2563,คลองบางชัน,ถนนสุขาภิบาล 3 ตรงข้ามธาราการ์เด้น,29.1,7.3,2.8,0.0,10.5,64.0,17.8,11.3,7.5,0.1,3.2,1.2,3.39E+11,"Sukhaphiban 3 Road, opposite Thara Garden",Khlong Bang Chan
799,891,2563,คลองลาดบัวขาว,ถนนราษฎร์พัฒนา รร.สุเหร่าลาดบัวขาว,29.3,7.3,3.0,0.1,13.5,62.2,31.3,10.6,7.0,0.1,2.9,1.2,9.49E+11,Rat Phatthana Road Mosura Lat Buakhao School,Khlong Lat Bua Khao
800,892,2563,คลองลาดบัวขาว,วัดลาดบัวขาว,28.8,7.3,2.9,0.0,10.3,55.5,15.7,10.0,5.3,0.1,2.8,1.1,9.42E+11,Wat Lat Bua Khao,Khlong Lat Bua Khao
801,901,2563,คลองลำนายโส,ถนนราษฎร์พัฒนา รร.สุเหร่าลำนายโส,29.1,7.3,3.2,0.0,11.8,61.2,17.5,11.3,6.5,0.1,2.9,1.1,2.63E+11,Rat Phatthana Road Lam Nai So Mosque School,Lam Nai So Canal
802,902,2563,คลองลำนายโส,วัดปากบึง,29.2,7.3,3.6,0.0,11.9,60.0,16.2,10.4,5.6,0.1,2.9,1.1,2.57E+11,Pak Bueng Temple,Lam Nai So Canal
803,911,2563,คลองบึงขวาง,ถนนร่มเกล้า ชุมชนพัฒนาบึงบัว,29.3,7.3,3.0,0.0,9.3,55.7,17.3,9.9,4.7,0.1,2.9,1.1,2.58E+11,"Romklao Road, Bueng Bua Phatthana Community",Khlong Bueng Khwang
804,921,2563,คลองทรายกองดิน,ถนนราษฎร์อุทิศ สุเหร่าทรายกองดิน,30.0,7.3,3.5,0.0,8.8,65.8,26.0,8.1,3.9,0.3,2.5,0.7,3.70E+07,Rat Uthit Road Sai Kong Din Mosque,Khlong Sai Kong Din
805,941,2563,คลองลำหิน,ถ.คู่คลองสิบ สะพานข้ามคลอง,29.6,7.2,4.0,0.0,7.1,53.2,33.5,6.5,2.5,0.2,2.4,0.6,3.48E+07,"Khlong Sip Road, bridge over the canal",Khlong Lam Hin
806,951,2563,คลองลำหินฝั่งใต้,ถนนเลียบวารี สะพานคลองลำหินฝั่งใต้,29.8,7.2,3.7,0.0,7.3,66.3,34.5,7.4,3.4,0.3,2.6,0.6,1.26E+08,"Along Waree Road, Khlong Lam Hin Bridge, southern side",Khlong Lam Hin Fang Tai
807,961,2563,คลองสิบเอ็ด,ถนนคลองสิบ คลองสิบเอ็ด ,29.7,7.2,4.0,0.0,7.5,57.2,31.9,7.3,3.5,0.2,2.4,0.6,3.39E+07,"Khlong Sip Road, Khlong Sip Sip Road ",Khlong Sip Sip
808,971,2563,คลองหวังโต,ถนนมิตรไมตรี ชุมชนหนองจอก,29.8,7.1,3.2,0.0,7.1,58.8,28.8,7.7,4.2,0.2,2.5,0.5,3.77E+07,"Mitmaitri Road, Nong Chok Community",Wang To Canal
809,981,2563,คลองบึงแตงโม,ถนนมิตรไมตรี หมู่บ้าน เค.ซี.การ์เด้น,29.8,7.1,2.7,0.0,7.3,59.8,28.0,5.7,2.7,0.2,2.6,0.5,3.50E+07,"Mitmaitri Road, K.C. Garden Village",Khlong Bueng Taeng Mo
810,991,2563,คลองลำต้นกล้วย,ถนนมิตรไมตรี ก่อนถึงสามแยก รพ.หนองจอก,29.8,7.2,4.3,0.0,7.5,48.8,20.4,6.4,2.9,0.2,2.2,0.5,3.40E+07,"Mitmaitri Road, before reaching the Nong Chok Hospital intersection.",Banana trunk canal
811,1001,2563,คลองลำผักชี,ถนนสุวินทวงศ์ สถานีย่อยสุวินทวงศ์ กฟน.,29.2,7.0,3.2,0.0,9.6,60.2,27.8,4.9,2.4,0.3,2.8,0.6,1.13E+08,"Suwinthawong Road Suwinthawong Substation, MEA",Lam Phak Chi Canal
812,1002,2563,คลองลำผักชี,ถนนฉลองกรุง หมู่บ้านฉลองกรุงริเวอร์วิว,29.3,7.1,3.1,0.0,9.0,53.0,30.7,5.7,2.7,0.3,3.3,0.6,3.34E+07,"Chalong Krung Road, Chalong Krung Riverview Village",Lam Phak Chi Canal
813,1021,2563,คลองลำปลาเน่า,ถนนฉลองกรุง จดกลับรถใต้สะพานข้ามคลอง,29.2,7.1,0.9,0.5,12.5,65.4,12.3,5.2,2.7,0.3,3.1,0.9,2.00E+11,"Chalong Krung Road, make a U-turn under the bridge over the canal.",Rotten Lam Pla Canal
814,1031,2563,คลองส้มป่อย,สะพานพระราม 6 สถานีเฝ้าระวัง,29.0,7.3,3.0,0.0,5.0,44.1,12.8,3.9,0.3,0.2,3.3,0.8,2.29E+07,Rama 6 Bridge Surveillance Station,Khlong Sompoi
815,1041,2563,คลองซุง,ใต้สะพานพระราม 6 ข.ทางรถไฟบางซ่อน,29.1,7.3,3.1,0.0,4.7,42.4,17.3,2.8,0.4,0.2,3.2,0.5,1.14E+08,"Under Rama 6 Bridge, Bang Son Railway",Khlong Sung
816,1051,2563,คลองบางซ่อน,ถนนประชาราษฏร์สาย 1 ซอย 34-36,29.1,7.3,0.2,0.2,21.2,70.9,9.2,11.1,8.6,0.1,2.3,1.4,2.78E+13,"Pracharat Sai 1 Road, Soi 34-36",Khlong Bang Son
817,1061,2563,คลองสาธารณะประโยชน์,ถนนประชาราษฎร์สาย 1 ใกล้ซอย 21,29.0,7.2,1.3,0.1,13.1,59.3,8.9,6.7,4.4,0.1,2.2,1.1,2.06E+12,"Pracharat Sai 1 Road, near Soi 21",Public canal
818,1071,2563,คลองบึง,หน้าสำนักงานเขตสวนหลวง,29.1,7.2,1.7,0.2,16.8,72.1,11.8,12.4,8.2,0.0,2.7,1.1,1.84E+13,In front of the Suan Luang District Office,Khlong Bueng
819,1081,2563,คลองสองห้อง,ถนนอ่อนนุชใกล้ซอย 61,29.1,7.2,0.0,0.7,36.4,106.6,22.6,19.2,13.1,0.0,3.9,1.8,1.03E+14,On Nut Road near Soi 61,Khlong Song Hong
820,1082,2563,คลองสองห้อง,ถนนเฉลิมพระเกียรติ ร.9,29.0,7.2,0.8,0.2,12.4,66.1,11.2,10.3,6.0,0.0,2.9,1.1,2.72E+13,Chaloem Phrakiat Rama 9 Road,Khlong Song Hong
821,1083,2563,คลองสองห้อง,หน้าโรงขยะอ่อนนุข,29.0,7.2,0.1,0.3,30.1,91.3,21.0,16.2,11.4,0.1,3.4,1.5,2.16E+14,In front of On Nut Garbage Plant,Khlong Song Hong
822,1091,2563,คลองวัดกระทุ่มเสือปลา,ถนนอ่อนนุชซอย 67 วัดกระทุ่มเสือปลา,29.2,7.2,0.6,0.2,13.3,52.0,12.4,10.0,6.0,0.0,2.4,0.9,9.74E+13,"On Nut Road, Soi 67, Wat Krathum Suea Pla",Khlong Wat Krathum Suea Pla
